마하, 79, 185
아가, 99, 176
파하, 55, 184
차자, 70, 153
타아, 60, 159
타마, 93, 163
마나, 54, 183
차라, 91, 164
라가, 55, 147
아카, 67, 199
가아, 43, 164
타가, 72, 177
자카, 51, 192
아나, 83, 164
카하, 62, 190
다타, 82, 189
사하, 53, 169
카마, 84, 181
나타, 79, 153
사타, 58, 163
하차, 54, 151
나자, 48, 191
다타, 91, 150
가자, 93, 159
바라, 46, 176
아다, 69, 166
나마, 76, 175
사차, 91, 155
가하, 70, 182
타나, 56, 196
다바, 50, 188
타아, 57, 194
파다, 52, 153
타차, 53, 198
가파, 71, 146
나파, 94, 191
사타, 99, 175
나마, 83, 149
가자, 41, 150
타바, 91, 158
자다, 98, 161
하하, 47, 183
다파, 43, 158
라나, 79, 159
사가, 42, 185
다마, 55, 157
자카, 68, 183
가하, 91, 177
사하, 78, 196
자가, 49, 185
바사, 91, 169
자자, 76, 183
사라, 58, 152
자차, 73, 183
하차, 69, 163
가다, 47, 198
사아, 73, 159
다차, 49, 180
파하, 57, 156
가사, 86, 199
카아, 54, 165
하마, 50, 177
하파, 55, 154
차타, 63, 185
차라, 59, 172
사라, 89, 166
자사, 67, 173
사하, 91, 199
가파, 82, 198
타타, 67, 166
카가, 79, 178
차파, 53, 141
파바, 72, 141
하하, 57, 140
자바, 82, 161
자사, 69, 178
카바, 68, 156
라아, 51, 195
가타, 56, 158
타아, 69, 164
가나, 48, 150
마가, 59, 150
사다, 84, 191
하바, 53, 189
자자, 43, 168
하가, 77, 189
라라, 40, 163
마하, 47, 172
자사, 59, 174
바자, 65, 191
파차, 74, 185
나가, 46, 173
차차, 60, 156
마사, 42, 155
나마, 59, 149
타하, 82, 197
아아, 98, 177
자아, 90, 182
카카, 64, 144
타파, 82, 182
바아, 76, 198
카마, 84, 159
타사, 60, 159
라타, 86, 174
타차, 98, 192
하파, 51, 144
사카, 57, 189
나카, 69, 187
마자, 82, 145
차카, 79, 150
가가, 40, 170
차라, 78, 151
타다, 87, 156
하자, 42, 147
라차, 52, 195
바나, 51, 149
다바, 66, 161
하카, 54, 140
아파, 72, 150
아파, 59, 159
차아, 88, 144
라카, 47, 184
라카, 56, 141
나바, 40, 166
차다, 97, 188
타라, 73, 180
파파, 47, 188
다카, 66, 157
다가, 87, 159
카아, 76, 184
라파, 70, 166
카하, 89, 179
나바, 48, 171
아라, 75, 197
하다, 58, 157
차다, 65, 150
하나, 46, 148
라사, 99, 146
바나, 56, 189
가타, 58, 198
카다, 63, 160
다가, 83, 152
사카, 75, 156
파자, 99, 169
파아, 71, 191
나아, 67, 142
바자, 56, 189
타바, 96, 157
자가, 49, 193
라아, 71, 185
카가, 79, 174
타바, 52, 197
타차, 85, 152
자카, 78, 187
마자, 85, 198
파마, 84, 194
마자, 66, 196
타사, 90, 145
다라, 45, 199
다아, 51, 188
차차, 83, 173
다차, 51, 184
나자, 78, 186
하가, 73, 195
타아, 80, 183
마가, 67, 145
아자, 77, 185
가라, 73, 159
차사, 99, 186
바타, 53, 180
사가, 54, 173
타바, 82, 172
마파, 71, 169
마파, 82, 195
가라, 51, 169
아파, 51, 175
다가, 60, 192
차나, 74, 167
파아, 44, 193
사하, 47, 149
마다, 76, 164
차하, 72, 155
다나, 86, 162
라카, 54, 157
라사, 78, 158
파사, 65, 171
차파, 79, 165
하가, 66, 156
하하, 53, 196
아가, 43, 197
사자, 51, 173
카차, 51, 151
차마, 73, 154
가라, 88, 145
마가, 79, 197
타아, 76, 151
다마, 55, 198
나하, 47, 186
사가, 80, 181
타바, 92, 184
바나, 88, 173
하다, 63, 180
차마, 45, 192
파바, 43, 194
카차, 73, 185
차가, 54, 166
마자, 95, 153
파하, 40, 143
나가, 62, 176
카바, 65, 153
바하, 82, 155
타바, 43, 186
가차, 68, 192
자차, 42, 143
라카, 46, 171
가가, 45, 183
하타, 72, 190
마타, 88, 192
카나, 85, 153
라마, 46, 149
나바, 55, 157
다바, 48, 176
타바, 45, 191
마타, 81, 191
차카, 79, 146
타카, 80, 177
나다, 98, 190
다나, 87, 191
파아, 76, 171
가자, 57, 159
파타, 97, 153
하타, 88, 153
다자, 48, 161
라바, 45, 141
카하, 51, 176
파카, 84, 157
나카, 70, 177
사아, 73, 157
바가, 67, 165
나라, 63, 163
가사, 79, 166
마다, 89, 194
아라, 46, 180
아자, 43, 154
다카, 75, 186
라자, 68, 161
가하, 57, 181
사아, 47, 186
사자, 51, 144
다라, 40, 190
다사, 59, 160
라하, 99, 160
다라, 98, 180
차바, 79, 173
다가, 79, 179
아파, 44, 168
나자, 43, 159
나바, 86, 172
아가, 56, 143
아자, 57, 149
하타, 71, 178
사사, 94, 153
나가, 68, 158
마라, 96, 157
마카, 70, 158
다카, 64, 178
파라, 80, 186
카타, 83, 182
가타, 73, 195
자파, 84, 165
라가, 51, 191
마사, 98, 199
다파, 87, 181
자마, 42, 158
가아, 62, 154
라다, 42, 167
나차, 50, 148
다나, 62, 142
파마, 80, 171
자차, 44, 166
다파, 66, 162
바가, 53, 162
차사, 72, 165
다파, 87, 174
나사, 73, 183
차하, 65, 165
다가, 40, 158
카차, 80, 144
가라, 61, 184
가차, 57, 195
카차, 60, 178
파나, 48, 161
가나, 76, 156
카사, 92, 195
